"Profit Falls for General Motors, With Global Troubles Weighing Down Its Results",By BILL VLASIC,764 words,26 July 2013,0,1,0,0,0,0,0,0,7,17,0,1,1,0,0,0
Fossil-Fuel Mileage Champ,By LAWRENCE ULRICH,"1,338 words",21 July 2013,0,0,0,0,0,0,0,0,16,8,6,5,1,0,0,0
We Have to Step In And Save Detroit,By STEVEN RATTNER,908 words,20 July 2013,0,0,0,0,0,0,0,0,7,29,8,3,3,0,0,0
"For G.M. And Honda, A Fuel-Cell Partnership",By LINDSAY BROOKE,691 words,3 July 2013,0,0,0,0,0,0,0,0,7,2,3,1,1,0,0,0
GM Workers in South Korea Plan Walkout,By REUTERS,551 words,28 June 2013,0,0,0,0,0,0,0,0,1,9,2,3,1,0,0,0
"Profit Rises, But Walgreen Falls Short Of Estimates",By THE ASSOCIATED PRESS,361 words,26 June 2013,0,0,0,0,0,0,0,0,5,6,3,0,1,0,0,0
G.M. and BMW Adopt D.C. Car Charging,By MATTHEW L. WALD,663 words,16 June 2013,0,0,0,0,0,0,0,0,2,2,7,8,0,0,0,0
Chain to Pay $80 Million In Drug Fine,By BARRY MEIER,532 words,12 June 2013,0,0,0,0,0,0,0,0,3,19,0,0,3,0,0,0
Bailout Payback,By DEALBOOK,316 words,6 June 2013,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0
"Close to Its Home, Walgreen Tests Energy-Saving Ideas",By BRUCE JAPSEN,"1,207 words",5 June 2013,0,0,0,0,0,0,0,0,4,4,3,9,1,0,0,1
Ford Showing Its Vigor as Industry Recovers,By JACLYN TROP,869 words,4 June 2013,0,0,0,0,0,0,0,0,17,3,2,3,1,0,0,0
Blueprints for Dymaxion Found in Massachusetts,By BENJAMIN PRESTON,928 words,2 June 2013,0,0,0,0,0,0,0,0,4,4,8,5,0,0,0,0
"To Compete, G.M. Alters A Sedan",By BILL VLASIC,939 words,1 June 2013,0,0,0,0,0,0,0,0,18,14,2,3,0,0,0,0
Tailgate Party: Fire Up the Grilles,By PHIL PATTON,"1,592 words",19 May 2013,0,0,0,0,0,0,0,0,10,6,4,3,0,0,0,0
Some NV200 Vans Will Wear Chevy Badge,By PAUL STENQUIST,627 words,19 May 2013,0,0,0,1,0,0,0,0,3,1,2,7,0,0,0,0
G.M.'s Profit Falls 14% As It Speaks of Progress,By BILL VLASIC,626 words,3 May 2013,1,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0
G.M. and Mountain Dew Drop Ads After Criticism,By TANZINA VEGA,619 words,2 May 2013,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0
A Sporty Declaration of Independence,By LAWRENCE ULRICH,"1,373 words",21 April 2013,0,0,0,0,0,0,0,0,10,13,5,9,0,0,0,1
Spark EV Will Offer A.C. or D.C. Charging,By MATTHEW WALD,811 words,21 April 2013,0,0,0,1,0,0,0,0,0,2,6,5,0,0,0,0
Ford-G.M. Teamwork On Transmissions,By LINDSAY BROOKE,919 words,21 April 2013,0,0,0,0,0,0,0,0,12,6,3,10,0,0,0,0
Global Carmakers Wrestle With India Slump,By REUTERS,918 words,19 April 2013,0,0,0,0,0,0,0,0,5,8,1,3,0,0,0,0
The Maserati Ghibli: Four Doors and a Diesel,By BENJAMIN PRESTON,459 words,14 April 2013,0,0,0,0,0,0,0,0,1,3,5,8,0,0,0,0
Buick Stakes a Claim In Munchkinland,By CHERYL JENSEN,"1,502 words",24 March 2013,0,0,0,0,1,0,0,0,8,13,8,2,0,0,0,0
News From the Advertising Industry,By STUART ELLIOTT,677 words,18 March 2013,0,0,0,0,0,0,0,0,7,1,0,6,1,0,0,0
Detroit Metal Largely Absent At Swiss Show,By JERRY GARRETT,381 words,10 March 2013,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0
A High-Dollar Debutante Ball,By JERRY GARRETT,690 words,3 March 2013,0,0,0,0,0,0,0,0,2,1,4,13,0,0,0,0
A 1960 Cadillac Takes Center Stage at the Metropolitan Opera,By MARCIA BIEDERMAN,721 words,3 March 2013,0,0,0,0,0,0,0,0,2,6,4,3,0,0,0,0
Sign of a Comeback: U.S. Carmakers Are Hiring,By BILL VLASIC,921 words,22 February 2013,0,0,0,0,0,0,0,0,8,12,1,4,1,0,0,0
G.M.'s Profit Rises Despite Weakness in Europe,By BILL VLASIC,735 words,15 February 2013,1,1,0,0,0,0,0,0,13,16,4,5,0,0,0,0
Toyota Is Recalling One Million Vehicles,By CHRISTOPHER JENSEN,296 words,3 February 2013,0,1,0,0,0,0,0,0,1,9,4,2,0,0,0,0
"Pay Still High At Bailed-Out Companies, Report Says",By ANNIE LOWREY,558 words,29 January 2013,0,0,0,0,0,0,0,0,4,14,1,0,2,0,0,0
Toyota Is Back on Top in Sales,By HIROKO TABUCHI,315 words,29 January 2013,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0
"A Parade of Positive Thinking, Paced by a New Corvette",By LAWRENCE ULRICH,"2,104 words",20 January 2013,1,0,0,0,0,0,0,0,6,8,11,12,2,0,0,0
Treasury to Start Selling Off G.M. Stake,By MICHAEL J. DE LA MERCED,218 words,19 January 2013,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0
2 Makers Press the Case for Electric Cars,By BILL VLASIC; Vindu Goel contributed reporting from Detroit.,"1,189 words",16 January 2013,0,0,0,0,0,0,0,0,7,10,3,7,0,0,0,0
G.M. Chief Expects To Regain Market Share,By BILL VLASIC,928 words,10 January 2013,1,0,0,0,0,0,0,0,12,18,3,8,0,0,0,1
That New-Market Smell,By ANDREW E. KRAMER,"1,281 words",26 December 2012,0,0,0,0,0,0,0,0,8,11,0,7,1,0,0,0
Walgreen Earnings Fall 26% on Acquisition and Storm Costs,By THE ASSOCIATED PRESS,374 words,22 December 2012,0,0,0,0,0,0,0,0,4,5,1,0,3,0,0,0
U.S. Says It Will Sell the Rest of Its Stake in G.M.,By MICHAEL J. DE LA MERCED and BILL VLASIC,"1,352 words",20 December 2012,0,0,0,1,0,0,0,0,9,23,3,7,3,0,0,1
Shares Fall as Deadline For Tax Increases Nears,By THE ASSOCIATED PRESS,533 words,20 December 2012,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0
"To Gain From Rising Sales, G.M. Redesigns Pickups",By BILL VLASIC,866 words,14 December 2012,1,0,0,0,0,0,0,0,10,10,0,3,0,0,0,1
"To Contain Losses, Opel Announces It Will Close a German Plant",By JACK EWING,"1,230 words",11 December 2012,0,0,0,1,0,0,0,0,4,39,6,3,1,0,0,0
The Empty Promise of Tax Incentives,By LOUISE STORY; Lisa Schwartz and Ramsey Merritt contributed research.,"5,629 words",2 December 2012,0,0,0,0,0,0,0,0,30,86,16,12,21,0,0,2
"Wielding a Classy Chassis, Knocking on BMW's Door",By EZRA DYER,"1,469 words",2 December 2012,0,0,0,0,0,0,0,0,8,8,4,7,2,0,0,0
Former G.M. Engineer Convicted of Trade Theft,By THE ASSOCIATED PRESS,75 words,1 December 2012,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0
Toyota Raises Forecast Despite Lag in China,By HIROKO TABUCHI,795 words,6 November 2012,1,1,0,0,0,0,0,0,12,22,3,1,0,0,0,0
"Like Other Automakers, G.M. Has Earnings Hurt by a Loss in Europe",By BILL VLASIC,889 words,1 November 2012,0,2,0,0,0,0,0,0,8,24,1,4,1,0,0,0
"By JIM RUTENBERG and JEREMY W. PETERS; Jim Rutenberg reported from Toledo, and Jeremy W. Peters",from New York.,630 words,31 October 2012,0,0,0,0,0,0,0,0,3,20,2,3,0,0,0,0
