Chief's Vision For Big Bank Is Showing Some Success,By SUSANNE CRAIG and RACHEL ABRAMS,"1,237 words",15 November 2013,1,0,0,0,0,0,0,0,12,15,3,4,0,0,0,0
Its Chief Returns Morgan Stanley to Basics and Profits,By ALEXANDRA STEVENSON,799 words,19 October 2013,0,0,0,0,0,0,0,0,9,11,1,1,0,0,0,0
Goldman Banker With Year's Top Tech Quarry,By DAVID GELLES,"1,210 words",4 October 2013,0,0,0,0,0,0,0,0,8,13,4,4,0,0,0,0
"Morgan Stanley Announces a Buyback, and Its Shares Rise",By SUSANNE CRAIG,910 words,19 July 2013,0,0,0,0,0,0,0,0,8,3,2,0,1,0,0,0
Morgan Stanley To Buy Citi Stake In Joint Venture,By SUSANNE CRAIG,665 words,22 June 2013,0,0,0,0,0,0,0,0,1,4,0,4,1,0,0,0
